"","abc2.x","mean","sem"
"1","T54_T54",0.368044188432482,0.0218803511000719
"2","T03_T03",0.381170089736153,0.02238049203882
"3","T10_T10",0.457078361516011,0.0167286040479698
"4","T14_T14",0.237040221719582,0.0122908690199783
"5","T18_T18",0.322124240093555,0.0193492893782648
"6","T19_T19",0.459414980741706,0.02651235334348
"7","T20_T20",0.373410996146996,0.0294423616377702
"8","T23_T23",0.37050919601424,0.0154758667091247
"9","T28_T28",0.347368770258359,0.0233035605423779
