"","abc2.x","mean","sem"
"1","1_1",0.362305266585628,0.0171899510138775
"2","11cb6_11cb6",0.202218031087543,0.0125744920631733
"3","11cb7_11cb7",0.523132571393089,0.0174448554482395
"4","11ct2_11ct2",0.554475653214788,0.0157012528629216
"5","13_13",0.234635413104202,0.0176480439082018
"6","137_137",0.392676255251397,0.0184678106276629
"7","15_15",0.301273410353766,0.0163868687594297
"8","16_16",0.303753352319157,0.0152144357467438
"9","181_181",0.48323757508405,0.0175402655871955
"10","196_196",0.444023154097277,0.0150267744966496
"11","1ab7_1ab7",0.477052791580809,0.0170035395958943
"12","28_28",0.501779707465649,0.0227027064970992
"13","29_29",0.330116523855606,0.0187406518486606
"14","3_3",0.641600500422332,0.0140707830623476
"15","30_30",0.282929005827347,0.0204548667072819
"16","31_31",0.616696291684055,0.0185420243553097
"17","34_34",0.279431269250524,0.0160544054874618
"18","35_35",0.440278626666695,0.0173331817458677
"19","39_39",0.318443616176103,0.0124431811561846
"20","4_4",0.52084356431384,0.0174765360419964
"21","43_43",0.414088467382029,0.016149466696679
"22","45_45",0.587144830120044,0.0178590194789992
"23","5_5",0.317996872245154,0.0168445583005358
"24","52_52",0.462294614336488,0.017762606235825
"25","56_56",0.416990003205416,0.0152989936820837
"26","6_6",0.544094854602643,0.0167981541710365
"27","66_66",0.631197551519946,0.0156720946574558
"28","69_69",0.292983039927904,0.0156708011480464
"29","70_70",0.518159040496464,0.017498889482555
"30","73_73",0.483787018575831,0.0198273504797938
"31","75_75",0.271065724491992,0.0175114367159771
"32","98_98",0.458911415604792,0.0154593394518847
